id,name
30104818,"redwood
bluesource
binder
portal
audience
api
update
"
30104739,"topcoder
project
service
fix
random
test
fail
"
30105069,"cycle
"
30104647,"country
monthly
report
add
conditional
formatting
"
30105278,
30104622,"fit
backend
user
relate
fix
"
30104828,"nextgen
cle
business
requirement
extract
api
dataset
code
challenge
"
30104618,"azure
cloud
function
update
"
30104617,"fit
backend
serverless
configuration
improvement
"
30104616,"fit
frontend
serverless
configuration
improvement
add
cloudfront
configuration
"
30104492,"topcoder
react
component
examples
file
picker
"
30104491,"topcoder
react
component
examples
others
"
30104489,"topcoder
react
component
examples
form
"
30104424,"fit
upload
image
file
"
30104410,"fit
backend
user
api
fix
"
30104408,"fit
deploy
aws
"
30104242,"project
spark
fix
style
issue
angular
app
"
30104353,"topcoder
notification
button
email
"
30104300,"eaton
secure
connect
app
shrink
window
height
keypad
io
"
30104249,"topcoder
challenge
filter
stats
part
"
30104425,"topcoder
connect
avoid
unnecessary
request
"
30104176,"rosko
value
stream
app
issue
code
challenge
"
30104202,"topcoder
starter
pack
mongodb
api
"
30104203,"topcoder
starter
pack
postgresql
api
"
30104201,"topcoder
starter
pack
mysql
api
"
30103986,"mud
log
phrase
identification
post
match
analysis
"
30104629,"rosko
value
stream
app
issue
code
challenge
"
30104632,"fast
simple
extract
business
requirement
use
exist
swagger
"
30104171,"fit
backend
express
app
bug
fix
"
30104195,"fit
deploy
backend
aws
lambda
"
30104161,"topcoder
starter
pack
c
mongodb
api
"
30104152,"topcoder
starter
pack
python
mongodb
api
"
30104135,"topcoder
starter
pack
nodejs
postgresql
api
"
30104136,"topcoder
starter
pack
nodejs
mysql
api
"
30104134,"topcoder
starter
pack
nodejs
mongodb
api
"
30103958,"topcoder
add
mm
submission
review
status
indicator
"
30103921,"eaton
secure
connect
app
pull
refresh
implementation
"
30103277,"rosko
value
stream
app
issue
code
challenge
"
30103963,"topcoder
react
component
list
component
"
30103817,"topcoder
fix
test
challenge
api
"
30103818,"topcoder
fix
test
resource
api
"
30103819,"topcoder
modify
audit
challenge
api
"
30103753,"topcoder
challenge
filter
stats
part
"
30099184,"topcoder
react
utils
deployment
fix
"
30103426,"form
export
style
fix
"
30103276,"rosko
value
stream
app
issue
code
challenge
"
30103275,"rosko
value
stream
app
issue
code
challenge
"
30103274,"rosko
value
stream
app
issue
code
challenge
"
30103770,"hepius
call
transcription
analysis
frontend
fix
part
"
30103191,"topcoder
performance
fix
data
science
filter
part
"
30103165,"mobility
peak
"
30103143,"topcoder
submission
api
wrapper
update
wrapper
base
updates
submission
api
"
30103087,"notification
test
challenge
register
"
30101492,"memory
controller
support
"
30101466,"coverage
hole
analysis
core
level
shadow
tag
"
30103075,"quartz
energy
overburden
calculator
api
update
challenge
"
30103189,"test
accessibility
bug
bash
payment
"
30102127,"topcoder
performance
fix
data
science
filter
"
30101981,"project
teckedin
change
signup
workflow
"
30101976,"topcoder
lookup
api
update
country
model
"
30101847,"topcoder
submission
review
api
change
permission
mm
challenge
"
30101750,"hepius
call
transcription
sentiment
analysis
create
topic
endpoint
"
30101630,"thrive
resetting
filter
fix
"
30101629,"thrive
update
track
search
page
"
30101362,"percy
migrate
lerna
nx
"
30101623,"abb
mobile
fix
comment
text
virtual
alignment
issue
add
image
"
30101621,"mysql
sql
server
data
synthesis
conversion
"
30101433,"topcoder
submission
review
api
update
artifact
endpoint
"
30101310,"iris
convert
python
ui
minimal
python
code
static
website
"
30101211,"abb
rcs
angular
prototype
operation
sld
"
30101124,"abb
mobile
xamarin
implement
refresh
token
api
detail
"
30101528,"abb
mobile
fix
ui
error
add
new
consumable
equipment
ppe
pop
"
30101526,"abb
mobile
fix
bug
recommendation
add
hazard
screen
display
"
30101524,"abb
mobile
fix
bug
recommendation
time
incorrect
"
30101523,"abb
mobile
fix
bug
recommendation
show
"
30100621,"topcoder
fix
challenge
bucket
"
30100620,"oncall
convert
python
ui
minimal
python
code
static
website
"
30100514,"topcoder
fix
issue
marathon
match
leaderboard
"
30100354,"mudlogging
ocr
codebase
tweak
challenge
"
30099337,"medium
library
persistence
layer
use
docker
"
30100059,"car
inventory
make
architecture
diagram
professional
"
30100349,"loki
chief
engineer
integrate
coreml
exist
io
application
"
30099711,"percy
editor
fix
editor
ui
javafx
webstorm
plugin
"
30099511,"hestia
flat
file
update
api
callback
show
table
"
30099767,"topcoder
connect
work
asset
"
30099211,"topcoder
project
service
create
topic
work
"
30099297,"clorox
iteration
filter
carousel
challenge
"
30099294,"clorox
iteration
modal
challenge
"
30099162,"car
inventory
app
support
fix
"
30099158,"car
inventory
app
sonarqube
azure
deployment
report
"
30099123,"topcoder
update
submission
cli
tool
"
30099190,"loki
chief
engineer
coreml
io
unit
test
"
30083263,"mbx
decline
curve
model
issue
resolution
"
30098791,"mud
log
google
vision
post
match
analysis
"
30098701,"test
accessibility
bug
bash
challenge
payment
"
30098526,"product
information
search
service
api
"
30098652,"fit
assessment
tool
prepare
test
data
"
30098091,"service
theater
simulator
integration
enhancement
bugfixes
"
30098090,"service
theater
simulator
integration
copy
operation
integration
"
30099192,"clorox
human
page
responsive
desktop
mobile
single
page
"
30099191,"clorox
team
page
responsive
desktop
mobile
single
page
"
30096509,"sync
report
cancellation
date
caluctor
front
end
credit
calculation
"
30099182,"clorox
strategy
page
responsive
desktop
mobile
single
screen
"
30099181,"clorox
news
article
page
responsive
desktop
mobile
single
page
"
30099129,"clorox
people
page
responsive
desktop
mobile
single
screen
"
30099127,"clorox
article
list
page
responsive
desktop
mobile
single
screen
"
30098980,"hepius
call
transcription
analysis
frontend
fix
part
"
30099040,"clorox
home
page
responsive
desktop
mobile
single
screen
"
30098275,"gng
unit
converter
unit
definition
"
30098144,"service
theater
document
flow
host
related
operation
"
30097975,"topcoder
project
service
looker
integration
"
30097899,"gng
nc
api
format
update
"
30097820,"service
theater
simulator
integration
volume
set
module
"
30097819,"service
theater
simulator
integration
host
set
module
"
30097818,"service
theater
simulator
integration
volume
module
"
30097817,"service
theater
simulator
integration
host
module
"
30097816,"service
theater
simulator
integration
cpg
module
"
30098339,"hepius
call
transcription
analysis
frontend
fix
"
30098238,"avesta
prim
project
"
30097730,"topcoder
connect
support
new
project
templates
format
"
30097756,"service
theater
simulator
integration
ensure
data
discovery
api
save
db
correctly
"
30097331,"switch
tool
bill
parser
bug
bash
"
30097314,"switch
tool
minor
ui
fix
"
30096512,"challenge
rfc
household
handle
multiple
input
"
30096507,"manual
updation
source
jobid
value
exisitng
fl
state
policy
"
30096591,"switch
tool
fix
att
parser
new
pdfs
"
30096515,"topcoder
connect
project
reporting
"
30096468,"topcoder
connect
fix
file
uploader
"
30096431,"gng
starter
pack
remove
database
"
